dummy,pct_outliers,pct_normais,diferenca
defeito_constatado_PRODUTO SEM DEFEITO,0.66,2.06,-1.39
defeito_constatado_NÃO GELA,0.0,1.38,-1.38
funcional,1.8,0.45,1.36
nao_gelo,0.19,1.51,-1.32
abertura_maio,15.67,14.36,1.31
status_AGUARDANDO PEÇAS,1.61,2.92,-1.3
status_AGUARDANDO CONSERTO,5.84,4.57,1.27
solto,1.57,0.32,1.25
linha_DIVERSOS,0.09,1.33,-1.24
lateral,1.9,0.67,1.23
gelar,1.47,0.26,1.21
status_ABERTA CALL-CENTER,0.14,1.32,-1.18
fabric_marco,4.04,5.21,-1.18
modelo_FILTRO,1.8,0.66,1.14
compra_dezembro,10.02,8.88,1.14
defeito_constatado_VAZAMENTO PELO ACOPLAMENTO,0.24,1.37,-1.13
compra_julho,3.99,5.11,-1.12
compra_abril,10.3,9.19,1.11
defeito_constatado_VAZAMENTO PELA CUBA,6.03,4.97,1.06
danificar,1.28,0.25,1.04
linha_BEBEDOURO,3.37,4.37,-1.0
status_AUDITORIA,1.19,0.19,1.0
nao_desligar,0.33,1.31,-0.98
forca,0.09,1.07,-0.98
defeito_constatado_NÃO ABRE A TAMPA,1.42,0.47,0.95
defeito_constatado_CHEIRANDO QUEIMADO,0.0,0.93,-0.93
abertura_janeiro,20.09,19.22,0.87
esquentar,1.57,0.79,0.78
base,1.71,0.96,0.75
status_AGUARDANDO ANÁLISE,0.14,0.85,-0.71
modelo_LCA 15,0.38,1.08,-0.7
defeito_constatado_PAINEL NÃO LIGA,2.09,1.39,0.7
defeito_constatado_BARULHO,1.52,2.19,-0.67
fabric_dezembro,6.36,7.03,-0.67
defeito_constatado_NÃO REALIZADO +30 DIAS,0.71,0.05,0.66
painel,1.8,1.15,0.66
defeito_constatado_NÃO CENTRIFUGA,5.32,5.97,-0.65
cheirar,1.9,1.28,0.62
modelo_LCT 6,0.0,0.59,-0.59
modelo_PUR PREMIUM,0.38,0.97,-0.59
modelo_LCS 20,6.03,6.61,-0.58
video,1.38,0.81,0.57
defeito_constatado_NÃO DESLIGA,1.8,1.24,0.57
abertura_abril,21.23,20.66,0.56
gostar,0.0,0.55,-0.55
linha_DEPURADOR,0.05,0.58,-0.53
fumaca,1.14,0.62,0.52
compra_janeiro,11.97,12.43,-0.47
ruim,0.0,0.47,-0.47
status_FINALIZADA (REPROVADA AUDITORIA),0.05,0.49,-0.44
defeito_constatado_GOSTO RUIM,0.0,0.44,-0.44
quebrar,2.28,1.86,0.42
modelo_LCS 15,0.0,0.41,-0.41
transbordar,0.0,0.39,-0.39
cesto,0.62,0.23,0.39
descolar,0.62,0.24,0.38
nao_fechar,0.0,0.36,-0.36
defeito_constatado_OBJETO ESTRANHO NA PEÇA,0.14,0.49,-0.35
fabric_junho,6.89,6.57,0.32
defeito_constatado_TRANSBORDANDO ÁGUA,0.76,0.45,0.31
congelar,0.0,0.31,-0.31
defeito_constatado_BATENDO NAS LATERAIS,0.28,0.59,-0.3
queimar,1.76,1.47,0.29
derreter,0.0,0.27,-0.27
defeito_constatado_DÚVIDAS DE USO,0.0,0.27,-0.27
rachadura,0.0,0.25,-0.25
defeito_constatado_CONGELANDO A ÁGUA,0.05,0.29,-0.24
nao_abrir,0.71,0.48,0.23
defeito_constatado_NÃO ENTRA ÁGUA,0.05,0.28,-0.23
nao_entrar,0.52,0.3,0.22
soltar,0.52,0.32,0.21
defeito_constatado_AGITA SEM ÁGUA,0.09,0.3,-0.21
agitar,0.38,0.58,-0.2
abrir,0.09,0.29,-0.19
defeito_constatado_VAZAMENTO PELA MANGUEIRA,0.19,0.38,-0.19
modelo_ACQUA COMPRESSOR,0.43,0.61,-0.18
defeito_constatado_CONSUMIDOR NÃO ACEITA REPARO,0.0,0.18,-0.18
mangueiro,0.09,0.26,-0.16
conforme,0.52,0.36,0.16
dar,0.14,0.3,-0.16
st_posto_Inativo,2.66,2.5,0.16
manipulo,1.28,1.43,-0.15
defeito_constatado_BASE DERRETIDA,0.0,0.14,-0.14
defeito_constatado_VAZAMENTO DE ÓLEO,0.05,0.19,-0.14
anexar,0.43,0.29,0.13
defeito_constatado_FALTANDO PEÇA NO PRODUTO,0.0,0.13,-0.13
status_AGUARDANDO RETIRADA,0.0,0.13,-0.13
defeito_constatado_NÃO ENXAGUA,0.0,0.12,-0.12
defeito_constatado_NÃO REALIZADO  SEM PEÇAS REPOSIÇÃO,0.24,0.12,0.12
modelo_LCM 15,0.0,0.12,-0.12
defeito_constatado_CESTO SOLTO,0.0,0.11,-0.11
defeito_constatado_VAZAMENTO ENTRE A CUBA E PAINEL,0.43,0.54,-0.11
defeito_constatado_PROBLEMAS NA INSTALAÇÃO,0.0,0.11,-0.11
defeito_constatado_VAZAMENTO PELO DRENO,0.0,0.1,-0.1
modelo_LCS 8,0.0,0.09,-0.09
"modelo_LCT 4,5",0.19,0.28,-0.09
fraco,0.47,0.38,0.09
daguar,0.38,0.47,-0.09
modelo_COOK 60,0.0,0.09,-0.09
defeito_constatado_ESQUENTANDO,0.57,0.48,0.09
modelo_COOK 80,0.0,0.08,-0.08
modelo_NEW PIONEER,0.0,0.08,-0.08
modelo_ACQUA ELETRONICO,0.0,0.08,-0.08
defeito_constatado_CONSUMIDOR AUSENTE,0.05,0.13,-0.08
defeito_constatado_BOTÃO TRAVADO,0.0,0.08,-0.08
defeito_constatado_PINGANDO,0.09,0.17,-0.07
defeito_constatado_CARACTERÍSTICAS DE PRODUTO,0.0,0.06,-0.06
funcionar,1.42,1.36,0.06
defeito_constatado_PEÇA DESCOLANDO,0.0,0.05,-0.05
defeito_constatado_SEM FORÇA,0.0,0.05,-0.05
defeito_constatado_PRENDENDO AS ROUPAS,0.0,0.05,-0.05
lento,0.33,0.29,0.04
defeito_constatado_DANDO CHOQUE,0.0,0.04,-0.04
linha_PEÇAS,0.0,0.04,-0.04
defeito_constatado_VAZAMENTO PELO LADRÃO,0.0,0.04,-0.04
defeito_constatado_BARULHO AO ENCHER,0.09,0.13,-0.04
origem_CONSUMIDOR,100.0,99.96,0.04
origem_REVENDEDOR,0.0,0.04,-0.04
modelo_DCM 60,0.05,0.02,0.03
status_FINALIZADA (CANCELADA PELO POSTO),0.0,0.02,-0.02
modelo_BEB PREMIUM,0.0,0.01,-0.01
modelo_LCS 16,0.0,0.01,-0.01
defeito_constatado_SINISTRO,0.0,0.01,-0.01
modelo_LCS 18,0.0,0.01,-0.01
linha_ARMÁRIO,0.0,0.01,-0.01
defeito_constatado_SAI POUCA ÁGUA,0.0,0.0,-0.0
defeito_constatado_DERRETENDO,0.0,0.0,-0.0
status_AGUARDANDO INFORMAR OS PRODUTOS,0.0,0.0,-0.0
defeito_constatado_LÂMPADA NÃO ACENDE,0.0,0.0,-0.0
defeito_constatado_SAI ÁGUA MORNA/QUENTE,0.0,0.0,-0.0
modelo_GOURMET 80,0.0,0.0,-0.0
fechamento_novembro,0.0,0.0,0.0
fechamento_dezembro,0.0,0.0,0.0
abertura_julho,0.0,0.0,0.0
abertura_agosto,0.0,0.0,0.0
abertura_setembro,0.0,0.0,0.0
abertura_outubro,0.0,0.0,0.0
abertura_novembro,0.0,0.0,0.0
abertura_dezembro,0.0,0.0,0.0
fechamento_julho,0.0,0.0,0.0
fechamento_agosto,0.0,0.0,0.0
fechamento_setembro,0.0,0.0,0.0
fechamento_outubro,0.0,0.0,0.0
pedido_julho,0.0,0.0,0.0
pedido_agosto,0.0,0.0,0.0
pedido_setembro,0.0,0.0,0.0
pedido_outubro,0.0,0.0,0.0
pedido_novembro,0.0,0.0,0.0
pedido_dezembro,0.0,0.0,0.0
