mes_referencia,Cod_produto,Realizado,Forecast,Erro_Absoluto,MAPE,MAE,RMSE,Bias,SMAPE,Desvio_M3,Desvio_M6,Desvio_M12
2024-01,120001889,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120001890,0.0,4.0,4.0,0.0,4.0,1665.2741143346389,4.0,2.0,0.0,0.0,0.0
2024-01,120001891,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120001892,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120001893,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120001894,0.0,2.0,2.0,0.0,2.0,1665.2741143346389,2.0,2.0,0.0,0.0,0.0
2024-01,120001895,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120001896,0.0,315.0,315.0,0.0,315.0,1665.2741143346389,315.0,2.0,0.0,0.0,0.0
2024-01,120001897,0.0,315.0,315.0,0.0,315.0,1665.2741143346389,315.0,2.0,0.0,0.0,0.0
2024-01,120001898,0.0,648.0,648.0,0.0,648.0,1665.2741143346389,648.0,2.0,0.0,0.0,0.0
2024-01,120001899,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120001900,0.0,54.0,54.0,0.0,54.0,1665.2741143346389,54.0,2.0,0.0,0.0,0.0
2024-01,120001901,0.0,252.0,252.0,0.0,252.0,1665.2741143346389,252.0,2.0,0.0,0.0,0.0
2024-01,120001902,0.0,765.0,765.0,0.0,765.0,1665.2741143346389,765.0,2.0,0.0,0.0,0.0
2024-01,120001903,0.0,630.0,630.0,0.0,630.0,1665.2741143346389,630.0,2.0,0.0,0.0,0.0
2024-01,120001904,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120001905,0.0,45.0,45.0,0.0,45.0,1665.2741143346389,45.0,2.0,0.0,0.0,0.0
2024-01,120001906,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120001907,0.0,900.0,900.0,0.0,900.0,1665.2741143346389,900.0,2.0,0.0,0.0,0.0
2024-01,120001908,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120001909,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120001910,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120001911,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120001912,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120001913,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120001914,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120001915,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120001916,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120001917,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120001918,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120001919,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120001920,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120001921,291.0,270.0,21.0,0.07216494845360824,21.0,1665.2741143346389,-21.0,0.0748663101604278,0.07216494845360824,0.07216494845360824,0.07216494845360824
2024-01,120001922,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120001923,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
2024-01,120001924,0.0,0.0,0.0,0.0,0.0,1665.2741143346389,0.0,0.0,0.0,0.0,0.0
